id,name,img,height,weight,type,weaknesses
0,Bulbasaur,http://www.serebii.net/pokemongo/pokemon/001.png,0.71 m,6.9 kg,"['Grass', 'Poison']","['Fire', 'Ice', 'Flying', 'Psychic']"
1,Ivysaur,http://www.serebii.net/pokemongo/pokemon/002.png,0.99 m,13.0 kg,"['Grass', 'Poison']","['Fire', 'Ice', 'Flying', 'Psychic']"
2,Venusaur,http://www.serebii.net/pokemongo/pokemon/003.png,2.01 m,100.0 kg,"['Grass', 'Poison']","['Fire', 'Ice', 'Flying', 'Psychic']"
3,Charmander,http://www.serebii.net/pokemongo/pokemon/004.png,0.61 m,8.5 kg,['Fire'],"['Water', 'Ground', 'Rock']"
4,Charmeleon,http://www.serebii.net/pokemongo/pokemon/005.png,1.09 m,19.0 kg,['Fire'],"['Water', 'Ground', 'Rock']"
5,Charizard,http://www.serebii.net/pokemongo/pokemon/006.png,1.70 m,90.5 kg,"['Fire', 'Flying']","['Water', 'Electric', 'Rock']"
6,Squirtle,http://www.serebii.net/pokemongo/pokemon/007.png,0.51 m,9.0 kg,['Water'],"['Electric', 'Grass']"
7,Wartortle,http://www.serebii.net/pokemongo/pokemon/008.png,0.99 m,22.5 kg,['Water'],"['Electric', 'Grass']"
8,Blastoise,http://www.serebii.net/pokemongo/pokemon/009.png,1.60 m,85.5 kg,['Water'],"['Electric', 'Grass']"
9,Caterpie,http://www.serebii.net/pokemongo/pokemon/010.png,0.30 m,2.9 kg,['Bug'],"['Fire', 'Flying', 'Rock']"
10,Metapod,http://www.serebii.net/pokemongo/pokemon/011.png,0.71 m,9.9 kg,['Bug'],"['Fire', 'Flying', 'Rock']"
11,Butterfree,http://www.serebii.net/pokemongo/pokemon/012.png,1.09 m,32.0 kg,"['Bug', 'Flying']","['Fire', 'Electric', 'Ice', 'Flying', 'Rock']"
12,Weedle,http://www.serebii.net/pokemongo/pokemon/013.png,0.30 m,3.2 kg,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']"
13,Kakuna,http://www.serebii.net/pokemongo/pokemon/014.png,0.61 m,10.0 kg,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']"
14,Beedrill,http://www.serebii.net/pokemongo/pokemon/015.png,0.99 m,29.5 kg,"['Bug', 'Poison']","['Fire', 'Flying', 'Psychic', 'Rock']"
15,Pidgey,http://www.serebii.net/pokemongo/pokemon/016.png,0.30 m,1.8 kg,"['Normal', 'Flying']","['Electric', 'Rock']"
16,Pidgeotto,http://www.serebii.net/pokemongo/pokemon/017.png,1.09 m,30.0 kg,"['Normal', 'Flying']","['Electric', 'Rock']"
